,Year,Average age in years
0,2018,29.2
1,2017,29.0
2,2016,29.0
3,2015,28.8
4,2014,28.7
5,2013,28.6
6,2012,28.5
7,2011,28.4
8,2010,28.2
9,2009,28.2
10,2008,28.2
11,2007,28.2
12,2006,28.3
13,2005,28.2
14,2004,28.1
15,2003,27.7
16,2002,27.6
17,2001,27.5
18,2000,27.4
19,1999,27.0
20,1998,26.7
21,1997,26.5
22,1996,26.1
23,1995,25.8
24,1994,25.5
25,1993,25.2
26,1992,24.9
27,1991,24.6
28,1990,24.5
29,1989,24.2
30,1988,24.0
31,1987,23.7
32,1986,23.4
33,1985,23.1
34,1984,22.8
35,1983,22.6
36,1982,22.2
37,1981,21.9
38,1980,21.7
