,Year,GDP per capita in U.S. dollars
0,2025*,25938.45
1,2024*,24599.64
2,2023*,23201.14
3,2022*,21570.62
4,2021*,19933.77
5,2020*,17230.14
6,2019,17771.63
7,2018,17747.01
8,2017,15518.22
9,2016,14091.38
10,2015,13646.7
11,2014,15680.89
12,2013,14951.88
13,2012,13762.16
14,2011,13735.62
15,2010,11228.13
16,2009,12131.33
17,2008,16316.83
18,2007,14010.24
19,2006,9635.17
20,2005,7533.79
21,2004,6315.4
22,2003,5111.5
23,2002,4116.13
24,2001,3548.51
25,2000,3334.25
26,1999,3140.33
27,1998,2965.16
28,1997,2669.57
29,1996,2417.46
30,1995,2163.46
