,Response,Percentage of total funding
0,U.S. National Institutes of Health,61%
1,Aggregate industry,14%
2,Bill & Melinda Gates Foundation,9.2%
3,U.S. Agency for International Development,3.7%
4,Unitaid,3.6%
5,U.S. Department of Defense,1.4%
6,European Commission,1%
7,UK Department for International Development,0.9%
8,German Federal Ministry of Education and Research (BMBF),0.7%
9,French National Agency for AIDS Research (ANRS),0.6%
10,French National Institute of Health and Medical Research (INSERM),0.4%
11,Dutch Directorate-General for International Cooperation (DGIS),0.4%
