,Month,"Number of people employed (in 1,000s)"
0,Oct 20,31183
1,Sep 20,31186
2,Aug 20,31308
3,Jul 20,31396
4,Jun 20,31416
5,May 20,31437
6,Apr 20,31477
7,Mar 20,31601
8,Feb 20,31687
9,Jan 20,31637
10,Dec 19,31637
11,Nov 19,31577
12,Oct 19,31493
13,Sep 19,31443
14,Aug 19,31365
15,Jul 19,31463
16,Jun 19,31448
17,May 19,31421
18,Apr 19,31443
19,Mar 19,31414
20,Feb 19,31438
21,Jan 19,31425
22,Dec 18,31307
23,Nov 18,31272
24,Oct 18,31247
25,Sep 18,31176
26,Aug 18,31173
27,Jul 18,31153
28,Jun 18,31159
29,May 18,31188
30,Apr 18,31165
31,Mar 18,31146
32,Feb 18,31064
33,Jan 18,31028
34,Dec 17,30970
35,Nov 17,31031
36,Oct 17,30917
37,Sep 17,30883
38,Aug 17,30931
39,Jul 17,30977
40,Jun 17,30904
41,May 17,30818
42,Apr 17,30753
43,Mar 17,30747
44,Feb 17,30681
45,Jan 17,30639
46,Dec 16,30645
47,Nov 16,30590
48,Oct 16,30577
49,Sep 16,30577
50,Aug 16,30587
51,Jul 16,30588
52,Jun 16,30540
53,May 16,30502
54,Apr 16,30422
55,Mar 16,30387
56,Feb 16,30376
57,Jan 16,30343
58,Dec 15,30340
59,Nov 15,30301
60,Oct 15,30261
61,Sep 15,30165
62,Aug 15,30064
63,Jul 15,30020
64,Jun 15,29967
65,May 15,29924
66,Apr 15,29963
67,Mar 15,29952
68,Feb 15,29938
69,Jan 15,29871
70,Dec 14,29820
71,Nov 14,29722
72,Oct 14,29715
73,Sep 14,29717
74,Aug 14,29677
75,Jul 14,29587
76,Jun 14,29599
77,May 14,29621
78,Apr 14,29527
79,Mar 14,29426
80,Feb 14,29384
81,Jan 14,29267
82,Dec 13,29215
83,Nov 13,29224
84,Oct 13,29152
85,Sep 13,29055
86,Aug 13,28989
87,Jul 13,28972
88,Jun 13,28909
89,May 13,28855
90,Apr 13,28867
91,Mar 13,28841
92,Feb 13,28831
93,Jan 13,28908
94,Dec 12,28925
95,Nov 12,28876
96,Oct 12,28786
97,Sep 12,28808
98,Aug 12,28819
99,Jul 12,28777
100,Jun 12,28718
101,May 12,28621
102,Apr 12,28572
103,Mar 12,28550
104,Feb 12,28492
105,Jan 12,28466
106,Dec 11,28461
107,Nov 11,28435
108,Oct 11,28438
109,Sep 11,28426
110,Aug 11,28467
111,Jul 11,28480
112,Jun 11,28558
113,May 11,28569
114,Apr 11,28541
115,Mar 11,28552
116,Feb 11,28554
117,Jan 11,28491
118,Dec 10,28444
119,Nov 10,28408
120,Oct 10,28455
121,Sep 10,28526
122,Aug 10,28484
123,Jul 10,28462
124,Jun 10,28367
125,May 10,28343
126,Apr 10,28254
127,Mar 10,28232
128,Feb 10,28251
129,Jan 10,28291
130,Dec 09,28331
131,Nov 09,28327
132,Oct 09,28321
133,Sep 09,28313
134,Aug 09,28316
135,Jul 09,28283
136,Jun 09,28360
137,May 09,28432
138,Apr 09,28559
139,Mar 09,28658
140,Feb 09,28728
141,Jan 09,28841
142,Dec 08,28820
143,Nov 08,28855
144,Oct 08,28838
145,Sep 08,28888
146,Aug 08,28923
147,Jul 08,29003
148,Jun 08,29028
149,May 08,29060
150,Apr 08,29016
151,Mar 08,29001
152,Feb 08,29000
153,Jan 08,28946
154,Dec 07,28917
155,Nov 07,28867
156,Oct 07,28823
157,Sep 07,28771
158,Aug 07,28736
159,Jul 07,28715
160,Jun 07,28696
161,May 07,28688
162,Apr 07,28603
163,Mar 07,28566
164,Feb 07,28542
165,Jan 07,28570
166,Dec 06,28577
167,Nov 06,28567
168,Oct 06,28557
169,Sep 06,28549
170,Aug 06,28605
171,Jul 06,28531
172,Jun 06,28488
173,May 06,28452
174,Apr 06,28467
175,Mar 06,28442
176,Feb 06,28385
177,Jan 06,28337
178,Dec 05,28281
179,Nov 05,28289
180,Oct 05,28323
181,Sep 05,28356
182,Aug 05,28330
183,Jul 05,28279
184,Jun 05,28225
185,May 05,28203
186,Apr 05,28185
187,Mar 05,28220
188,Feb 05,28232
189,Jan 05,28179
190,Dec 04,28129
191,Nov 04,28089
192,Oct 04,28013
193,Sep 04,27987
194,Aug 04,27943
195,Jul 04,27922
196,Jun 04,27924
197,May 04,27928
198,Apr 04,27918
199,Mar 04,27929
200,Feb 04,27915
201,Jan 04,27874
202,Dec 03,27774
203,Nov 03,27772
204,Oct 03,27756
205,Sep 03,27724
206,Aug 03,27697
207,Jul 03,27710
208,Jun 03,27711
209,May 03,27675
210,Apr 03,27626
211,Mar 03,27590
212,Feb 03,27558
213,Jan 03,27589
214,Dec 02,27618
215,Nov 02,27568
216,Oct 02,27539
217,Sep 02,27459
218,Aug 02,27479
219,Jul 02,27430
220,Jun 02,27457
221,May 02,27412
222,Apr 02,27382
223,Mar 02,27324
224,Feb 02,27311
225,Jan 02,27297
226,Dec 01,27325
227,Nov 01,27320
228,Oct 01,27277
229,Sep 01,27259
230,Aug 01,27269
231,Jul 01,27253
232,Jun 01,27274
233,May 01,27279
234,Apr 01,27250
235,Mar 01,27212
236,Feb 01,27195
237,Jan 01,27211
238,Dec 00,27114
239,Nov 00,27071
240,Oct 00,27084
241,Sep 00,27114
242,Aug 00,27114
243,Jul 00,27071
244,Jun 00,27013
245,May 00,26985
246,Apr 00,26938
247,Mar 00,26895
248,Feb 00,26843
249,Jan 00,26846
250,Dec 99,26858
251,Nov 99,26816
252,Oct 99,26757
253,Sep 99,26760
254,Aug 99,26713
255,Jul 99,26663
256,Jun 99,26636
257,May 99,26596
258,Apr 99,26590
259,Mar 99,26589
260,Feb 99,26579
261,Jan 99,26565
262,Dec 98,26524
263,Nov 98,26510
264,Oct 98,26450
265,Sep 98,26407
266,Aug 98,26392
