,Year,Export volume in billion U.S. dollars
0,2019,23.79
1,2018,22.8
2,2017,18.39
3,2016,16.72
4,2015,16.21
5,2014,16.97
6,2013,16.76
7,2012,16.1
8,2011,16.04
9,2010,14.22
10,2009,12.27
11,2008,15.46
12,2007,14.15
13,2006,12.55
14,2005,11.52
15,2004,10.68
16,2003,10.56
17,2002,10.06
18,2001,9.92
19,2000,11.06
20,1999,10.09
21,1998,8.99
22,1997,8.99
23,1996,8.8
24,1995,8.86
25,1994,7.18
26,1993,6.46
27,1992,8.72
28,1991,8.57
29,1990,7.99
30,1989,7.22
31,1988,6.78
32,1987,5.53
33,1986,4.84
34,1985,4.63
