,Quarter,Sales in million Canadian dollars
0,Q3 2019,922.65
1,Q2 2019,749.02
2,Q1 2019,631.17
3,Q4 2018,1042.86
4,Q3 2018,949.58
5,Q2 2018,767.78
6,Q1 2018,640.07
7,Q4 2017,1081.83
8,Q3 2017,945.23
9,Q2 2017,779.13
10,Q1 2017,648.62
11,Q4 2016,1013.71
12,Q3 2016,886.62
13,Q2 2016,725.5
14,Q1 2016,646.55
15,Q4 2015,1065.79
16,Q3 2015,894.08
17,Q2 2015,765.71
18,Q1 2015,675.82
19,Q4 2014,1029.9
20,Q3 2014,884.95
21,Q2 2014,766.2
22,Q1 2014,595.8
23,Q4 2013,930.08
24,Q3 2013,806.83
25,Q2 2013,714.25
26,Q1 2013,606.9
27,Q4 2012,952.35
28,Q3 2012,811.31
29,Q2 2012,719.53
30,Q1 2012,613.53
