,Year,Total attendance,Average attendance per game
0,2018 Russia,3031768,47371
1,2014 Brazil,3441450,53772
2,2010 South Africa,3167984,49499
3,2006 Germany,3367000,52609
4,2002 Japan / South Korea,2724604,42571
5,1998 France,2859234,44676
6,1994 USA,3568567,68626
7,1990 Italy,2527348,48411
8,1986 Mexico,2407431,46297
9,1982 Spain,1856277,35698
10,1978 Argentina,1610215,42374
11,1974 Germany,1774022,46685
12,1970 Mexico,1673975,52312
13,1966 England,1614677,50459
14,1962 Chile,776000,24250
15,1958 Sweden,868000,24800
16,1954 Switzerland,943000,36269
17,1950 Brazil,1337000,60773
18,1938 France,483000,26833
19,1934 Italy,395000,23235
20,1930 Uruguay,434000,24139
