,medical specialty,Mean annual pay in U.S. dollars
0,Anesthesiologists,261730
1,Surgeons,252040
2,Oral and Maxillofacial Surgeons,237570
3,Obstetricians and Gynecologists,233610
4,Orthodontists,230830
5,Prosthodontists,220840
6,Psychiatrists,220430
7,Family Medicine Physicians,213270
8,"Physicians, All Other",203450
9,General Internal Medicine Physicians,201440
10,Chief Executives,193850
11,"Pediatricians, General",184410
12,Nurse Anesthetists,181040
13,"Dentists, General",178260
14,"Dentists, All Other Specialists",178040
15,"Airline Pilots, Copilots, and Flight Engineers",174870
16,Petroleum Engineers,156780
17,Computer and Information Systems Managers,156390
18,Architectural and Engineering Managers,152930
19,Marketing Managers,149200
20,Financial Managers,147530
21,Natural Sciences Managers,145450
22,Lawyers,145300
23,Podiatrists,142680
24,Advertising and Promotions Managers,141890
