,Month,Number of completed house sales
0,Dec '18,65151
1,Nov '18,80286
2,Oct '18,77473
3,Sep '18,70795
4,Aug '18,87950
5,Jul '18,77314
6,Jun '18,82604
7,May '18,71033
8,Apr '18,62117
9,Mar '18,71890
10,Feb '18,61770
11,Jan '18,60308
12,Dec '17,81181
13,Nov '17,81262
14,Oct '17,81518
15,Sep '17,82506
16,Aug '17,87242
17,Jul '17,81136
18,Jun '17,89018
19,May '17,73109
20,Apr '17,65808
21,Mar '17,78295
22,Feb '17,63887
23,Jan '17,60554
24,Dec '16,84186
25,Nov '16,78181
26,Oct '16,74782
27,Sep '16,80168
28,Aug '16,83777
29,Jul '16,81976
30,Jun '16,78071
31,May '16,63304
32,Apr '16,55412
33,Mar '16,125046
34,Feb '16,68339
35,Jan '16,62780
36,Dec '15,84495
37,Nov '15,82925
38,Oct '15,92632
39,Sep '15,83993
40,Aug '15,85875
41,Jul '15,94252
42,Jun '15,85909
43,May '15,75812
44,Apr '15,65541
45,Mar '15,68555
46,Feb '15,60419
47,Jan '15,59092
