,Year,Inflation rate compared to previous year
0,2025*,7%
1,2024*,5.9%
2,2023*,5.2%
3,2022*,4.5%
4,2021*,3.8%
5,2020*,3.5%
6,2019,1.95%
7,2018,4.27%
8,2017,5.59%
9,2016,6.4%
10,2015,4.78%
11,2014,2.92%
12,2013,3.26%
13,2012,8.92%
14,2011,4.5%
15,2010,3.91%
16,2009,5.74%
17,2008,4.86%
18,2007,3.67%
19,2006,2.32%
20,2005,1.38%
21,2004,3.97%
22,2003,4.26%
23,2002,1.43%
24,2001,4.2%
25,2000,0.3%
26,1999,2.6%
27,1998,4.95%
28,1997,5.7%
29,1996,18.7%
30,1995,29.8%
31,1994,29%
32,1993,20.5%
33,1992,31.7%
34,1991,25.9%
35,1990,9.27%
36,1989,9.17%
37,1988,5.94%
38,1987,5.86%
39,1986,10.01%
40,1985,10.43%
41,1984,6.31%
