,Country,Index value in points
0,Monaco,91.5
1,Luxembourg,90.89
2,Liechtenstein,90.78
3,Switzerland,90.35
4,Norway,89.83
5,Canada,89.42
6,Andorra,89.24
7,United Kingdom,89.18
8,Singapore,88.7
9,San Marino,88.38
10,"Hong Kong SAR, China",88.35
11,Sweden,88.3
12,Australia,88.22
13,Germany,87.99
14,Austria,87.54
15,"Macao SAR, China",87.34
16,Ireland,87.3
17,Denmark,86.9
18,Belgium,86.69
19,New Zealand,86.65
20,United States,86.56
21,Finland,86.32
22,Iceland,86.17
23,France,85.88
24,Netherlands,85.88
25,Israel,85.44
26,Cyprus,85.3
27,Lithuania,85.24
28,Aruba,85.17
29,"Bahamas, The",85.02
30,Estonia,84.47
31,Faroe Islands,84.2
32,Malta,84.17
33,Slovenia,83.4
34,Malaysia,83.4
35,Croatia,82.94
36,Greece,82.83
37,Spain,82.66
38,Czech Republic,82.42
39,Antigua and Barbuda,81.96
40,"Korea, Rep",81.83
41,New Caledonia,81.28
42,St Kitts and Nevis,81.25
43,Bermuda,81.08
44,Portugal,81.08
45,Slovak Republic,80.98
46,Latvia,80.5
47,Japan,79.96
48,Italy,79.66
49,Qatar,79.4
50,Hungary,78.68
51,St Lucia,78.61
52,Cayman Islands,78.5
53,Mauritius,78.38
54,Barbados,78.06
55,Montenegro,77.64
56,Bulgaria,77.33
57,Palau,77.12
58,United Arab Emirates,76.76
59,Kuwait,76.49
60,Dominica,76.35
61,Costa Rica,76.3
62,Serbia,76.13
63,Greenland,76.02
64,Panama,75.73
65,Uruguay,75.57
66,Romania,75.56
67,Seychelles,75.46
68,Poland,75.41
69,Trinidad and Tobago,75.29
70,Chile,75.06
71,Puerto Rico,74.55
72,Georgia,74.41
73,French Polynesia,74.27
74,Bahrain,73.85
75,Dominican Republic,73.33
76,St Vincent and the Grenadines,73.03
77,Saudi Arabia,73.0
78,Oman,72.87
79,Tonga,72.76
80,Argentina,72.68
81,Brunei Darussalam,72.37
82,Samoa,72.27
83,Marshall Islands,72.02
84,Grenada,71.32
85,Moldova,70.9
86,Bosnia and Herzegovina,70.53
87,Ukraine,70.38
88,Fiji,69.8
89,Jordan,69.69
90,Thailand,69.63
91,Jamaica,69.33
92,Suriname,69.05
93,Belize,69.03
94,Kazakhstan,68.69
95,Russian Federation,68.67
96,North Macedonia,68.26
97,Maldives,68.24
98,Albania,67.97
99,Virgin Islands (US),67.21
