,Top 15 occupations,Number of new jobs in thousand
0,Personal care aides,881.0
1,"Combined food preparation and serving workers, including fast food",640.1
2,Registered nurses,371.5
3,Home health aides,304.8
4,"Cooks, restaurant",299.0
5,"Software developers, applications",241.5
6,Waiters and waitresses,170.2
7,General and operations managers,165.0
8,"Janitors and cleaners, except maids and housekeeping cleaners",159.8
9,Medical assistants,154.9
10,Construction laborers,148.1
11,"Laborers and freight, stock, and material movers, hand",144.0
12,Market research analysts and marketing specialists,139.2
13,Nursing assistants,135.4
14,Management analysts,118.3
