,Response,Share of users attacked with encryption ransomware
0,WannaCry / Trojan-Ransom.Win32.Wanna,23.56%
1,(generic verdict) / Trojan-Ransom.Win32.Phny,16.81%
2,GranCrab / Trojan-Ransom.Win32.GandCrypt,12.17%
3,(generic verdict) / Trojan-Ransom.Win32.Gen,6.26%
4,(generic verdict) / Trojan-Ransom.Win32.Crypmod,5.08%
5,(generic verdict) / Trojan-Ransom.Win32.Encoder,4.65%
6,Shade / Trojan-Ransom.Win32.Shade,2.66%
7,PolyRansom/VirLock / Virus.Win32.PolyRansom,2.43%
8,(generic verdict) / Trojan-Ransom.Win32.Crypren,2.28%
9,Stop / Trojan-Ransom.Win32.Stop,1.94%
