,Month,Index number of sales per week
0,Sep 19,128.4
1,Aug 19,142.4
2,Jul 19,142.0
3,Jun 19,145.8
4,May 19,141.9
5,Apr 19,137.5
6,Mar 19,138.4
7,Feb 19,145.1
8,Jan 19,140.4
9,Dec 18,128.3
10,Nov 18,136.5
11,Oct 18,137.4
12,Sep18,132.2
13,Aug 18,131.5
14,Jul 18,128.5
15,Jun 18,125.6
16,May 18,124.7
17,Apr 18,119.5
18,Mar 18,119.4
19,Feb 18,116.5
20,Jan 18,113.1
21,Dec 17,113.4
22,Nov 17,113.6
23,Oct 17,109.7
24,Sep 17,111.6
25,Aug 17,105.7
26,Jul 17,105.5
27,Jun 17,105.0
28,May 17,104.2
29,Apr 17,110.5
30,Mar 17,110.8
31,Feb 17,106.9
32,Jan 17,104.0
33,Dec 16,101.3
34,Nov 16,101.9
35,Oct 16,103.4
36,Sep 16,100.9
37,Aug 16,107.1
38,July 16,104.8
39,June 16,97.4
40,May 16,98.5
41,April 16,98.1
42,Mar 16,95.3
43,Feb 16,95.9
44,Jan 16,96.4
