,Year,GDP per capita in U.S. dollars
0,2025*,281.61
1,2024*,276.89
2,2023*,273.18
3,2022*,269.94
4,2021*,267.02
5,2020*,263.67
6,2019*,269.83
7,2018*,284.53
8,2017*,306.1
9,2016*,294.69
10,2015,318.99
11,2014,286.37
12,2013,267.7
13,2012,250.12
14,2011,247.1
15,2010,231.55
16,2009,208.78
17,2008,195.79
18,2007,170.17
19,2006,164.58
20,2005,148.71
21,2004,122.38
22,2003,108.07
23,2002,116.39
24,2001,127.35
25,2000,130.23
26,1999,133.41
27,1998,141.76
28,1997,157.05
29,1996,142.59
30,1995,167.18
31,1994,157.47
32,1993,162.57
33,1992,187.24
34,1991,207.67
35,1990,207.11
36,1989,213.18
37,1988,211.18
38,1987,231.93
39,1986,253.42
40,1985,247.64
