,Industry,Real GDP per hour worked in chained 2012 Canadian dollars
0,Mining and oil and gas extraction,281.3
1,Non-profit institutions,187.9
2,Utilities,184.6
3,"Real estate, rental and leasing",134.5
4,Information and cultural industries,101.4
5,"Finance and insurance, and holding companies",72.6
6,Wholesale trade,64.6
7,Manufacturing,63.7
8,All industries,60.0
9,"Agriculture, forestry, fishing and hunting",55.2
10,Government sector,53.2
11,"Professional, scientific and technical services",51.5
12,Construction,50.0
13,Transportation and warehousing,49.9
14,Health care and social assistance,45.6
15,"Administrative and support, waste management and remediation services",33.8
16,Retail trade,32.2
17,"Arts, entertainment and recreation",28.3
18,Other private services,23.6
19,Accommodation and food services,22.9
20,Educational services,22.0
