,Quarter,Advertising revenue,Other revenue
0,Q4 '19,5071,88
1,Q3 '19,4057,67
2,Q2 '19,4043,66
3,Q1 '19,3609,41
4,Q4 '18,4087,64
5,Q3 '18,3266,47
6,Q2 '18,3247,55
7,Q1 '18,2992,44
8,Q4 '17,3196,54
9,Q3 '17,2434,47
10,Q2 '17,2209,33
11,Q1 '17,1869,36
12,Q4 '16,2025,40
13,Q3 '16,1563,42
14,Q2 '16,1545,40
15,Q1 '16,1270,37
16,Q4 '15,1413,43
17,Q3 '15,1041,44
18,Q2 '15,987,50
19,Q1 '15,855,53
20,Q4 '14,960,70
21,Q3 '14,783,61
22,Q2 '14,757,67
23,Q1 '14,631,67
24,Q4 '13,658,69
25,Q3 '13,482,56
26,Q2 '13,451,54
27,Q1 '13,367,56
28,Q4 '12,374,66
29,Q3 '12,295,46
30,Q2 '12,294,52
31,Q1 '12,274,54
32,Q4 '11,306,55
33,Q3 '11,245,45
34,Q2 '11,245,30
35,Q1 '11,206,23
36,Q4 '10,201,17
37,Q3 '10,130,4
38,Q2 '10,128,1
39,Q1 '10,96,0
