,Year,Gross domestic product in billion U.S. dollars
0,2024*,608.11
1,2023*,586.03
2,2022*,566.38
3,2021*,547.87
4,2020*,529.55
5,2019*,517.61
6,2018,532.27
7,2017,495.95
8,2016,469.87
9,2015,456.17
10,2014,531.65
11,2013,521.09
12,2012,498.16
13,2011,527.49
14,2010,484.45
15,2009,485.78
16,2008,521.08
17,2007,472.48
18,2006,410.16
19,2005,387.99
20,2004,371.28
21,2003,319.55
22,2002,259.66
23,2001,238.0
24,2000,238.56
25,1999,260.54
26,1998,260.95
27,1997,255.13
28,1996,281.45
29,1995,289.84
30,1994,239.9
31,1993,219.89
32,1992,229.96
33,1991,206.47
34,1990,201.22
35,1989,160.67
36,1988,158.94
37,1987,146.19
38,1986,117.69
39,1985,84.92
40,1984,81.67
