,Response,Share of U.S. students
0,Business,26.1%
1,Education,9.4%
2,Humanities and liberal arts,8.6%
3,Architecture and engineering,8.3%
4,Health,7.5%
5,Social sciences,6.9%
6,"Computers, statistics, and  mathematics",5.6%
7,Psychology and social work,5.2%
8,Communications and journalism,5.2%
9,Arts,4.8%
10,Biology and life sciences,3.3%
11,"Industrial arts, consumer services,  and recreation",2.7%
12,Law and public policy,2.6%
13,Physical sciences,2.5%
14,Agriculture and natural resources,1.5%
