,Country,Urban percentage of population
0,"China, Hong Kong SAR",100%
1,"China, Macao SAR",100%
2,Singapore,100%
3,Kuwait,100%
4,Gibraltar,100%
5,Holy See,100%
6,Monaco,100%
7,Anguilla,100%
8,Cayman Islands,100%
9,Sint Maarten (Dutch part),100%
10,Bermuda,100%
11,Nauru,100%
12,Réunion,99.6%
13,Qatar,99.1%
14,Guadeloupe,98.5%
15,Belgium,98%
16,San Marino,97.2%
17,United States Virgin Islands,95.7%
18,Uruguay,95.3%
19,Guam,94.8%
20,Malta,94.6%
21,Iceland,93.8%
22,Puerto Rico,93.6%
23,Turks and Caicos Islands,93.1%
24,Israel,92.4%
25,Argentina,91.9%
26,Northern Mariana Islands,91.6%
27,Japan,91.6%
28,Netherlands,91.5%
29,Luxembourg,91%
30,Jordan,91%
