,Month,Million unique visitors
0,Google Play Games,18.74
1,Pokémon GO,10.66
2,Candy Crush Saga,10.23
3,GameSpot (main),10.05
4,IGN,9.56
5,Wordscapes,8.91
6,Lucky Money,8.83
7,Game Launcher (for Samsung),6.97
8,Words With Friends,6.95
9,Solitaire by MobilityWare,6.85
10,Candy Crush Soda Saga,5.95
11,Steam Community Activity,5.31
12,Coin Master,4.83
13,Trivia Today,4.37
14,Nintendo,4.36
15,Homescapes,4.35
16,Xbox,4.35
17,Zynga (main),4.3
18,Gardenscapes - New Acres,4.26
19,Mario Kart Tour,4.21
20,Kotaku,3.92
21,Gamepedia,3.72
22,Cookie Jam,3.49
23,POP! Slots,3.46
24,Toon Blast,3.43
25,Game Tools (for Samsung),3.43
26,GamesRadar+,3.3
27,Lucky Time,3.28
28,Sudoku,3.05
29,EA,3.04
