,Household Expenditure,Average expenditure in Canadian dollars
0,Shelter,17526
1,Income taxes,15016
2,Transportation,13302
3,Food expenditures,9143
4,Personal insurance payments and pension contributions,5554
5,Household operations,5109
6,Recreation,4923
7,Clothing and accessories,3310
8,Health care,2630
9,Household furnishings and equipment,2542
10,"Gifts of money, support payments and charitable contributions",2391
11,Tobacco products and alcoholic beverages,1837
12,Miscellaneous expenditures,1769
13,Education,1434
14,Personal care,1126
15,Games of chance,293
16,Reading materials and other printed matter,173
