,State,Number of households in millions
0,California,13.07
1,Texas,9.78
2,Florida,7.81
3,New York,7.37
4,Pennsylvania,5.07
5,Illinois,4.86
6,Ohio,4.68
7,North Carolina,4.01
8,Michigan,3.96
9,Georgia,3.8
10,New Jersey,3.25
11,Virginia,3.18
12,Washington,2.9
13,Massachusetts,2.62
14,Arizona,2.61
15,Indiana,2.6
16,Tennessee,2.6
17,Missouri,2.43
18,Wisconsin,2.37
19,Maryland,2.22
20,Minnesota,2.19
21,Colorado,2.18
22,South Carolina,1.93
23,Alabama,1.86
24,Louisiana,1.74
25,Kentucky,1.73
26,Oregon,1.64
27,Oklahoma,1.49
28,Connecticut,1.38
29,Iowa,1.27
30,Arkansas,1.16
31,Nevada,1.13
32,Kansas,1.13
33,Mississippi,1.11
34,Utah,1.0
35,New Mexico,0.79
36,Nebraska,0.77
37,West Virginia,0.73
38,Idaho,0.64
39,Maine,0.57
40,New Hampshire,0.53
41,Hawaii,0.46
42,Montana,0.43
43,Rhode Island,0.41
44,Delaware,0.37
45,South Dakota,0.35
46,North Dakota,0.32
47,District of Columbia,0.29
48,Vermont,0.26
49,Alaska,0.25
50,Wyoming,0.23
