,Year,Inflation rate compared to previous year
0,2021*,3.9%
1,2020*,3.2%
2,2019*,2.8%
3,2018,3.54%
4,2017,3.52%
5,2016,2.67%
6,2015,0.63%
7,2014,4.09%
8,2013,6.6%
9,2012,9.1%
10,2011,18.67%
11,2010,9.21%
12,2009,6.72%
13,2008,23.12%
14,2007,8.35%
15,2006,7.5%
16,2005,8.39%
17,2004,7.89%
18,2003,3.3%
19,2002,4.08%
20,2001,-0.31%
21,2000,-1.77%
22,1999,4.11%
23,1998,8.11%
24,1997,3.1%
25,1996,5.59%
26,1995,16.93%
27,1994,9.49%
28,1993,8.38%
29,1992,37.71%
30,1991,81.82%
31,1990,36.03%
32,1989,95.77%
33,1988,374.35%
34,1987,360.36%
35,1986,453.54%
36,1985,91.6%
37,1984,64.9%
