,Year,Inflation rate compared to previous year
0,2024*,3.04%
1,2023*,3.04%
2,2022*,3.04%
3,2021*,3.04%
4,2020*,3.69%
5,2019*,3.61%
6,2018,3.24%
7,2017,4.31%
8,2016,7.51%
9,2015,5%
10,2014,2.91%
11,2013,2.02%
12,2012,3.17%
13,2011,3.42%
14,2010,2.27%
15,2009,4.2%
16,2008,7%
17,2007,5.55%
18,2006,4.3%
19,2005,5.05%
20,2004,5.91%
21,2003,7.12%
22,2002,6.35%
23,2001,7.96%
24,2000,9.22%
25,1999,18.88%
26,1998,18.65%
27,1997,18.48%
28,1996,20.8%
29,1995,20.88%
30,1994,22.85%
31,1993,22.45%
32,1992,27.02%
33,1991,30.32%
34,1990,29.12%
35,1989,25.94%
36,1988,28.1%
37,1987,23.33%
38,1986,18.85%
39,1985,23.91%
40,1984,16.28%
