,player,Market value in million euros
0,David Neres,36.0
1,André Onana,36.0
2,Nicolás Tagliafico,28.0
3,Dusan Tadic,20.0
4,Daley Blind,20.0
5,Lisandro Martinez,20.0
6,Antony,18.0
7,Sergiño Dest,18.0
8,Quincy Promes,17.5
9,Ryan Gravenberch,11.0
10,Noussair Mazraoui,9.5
11,Mohammed Kudus,9.0
12,Edson Álvarez,8.0
13,Perr Schuurs,6.3
14,Lassina Traoré,5.4
15,Carel Eiting,4.5
16,Noa Lang,3.5
17,Zakaria Labyad,3.2
18,Jurgen Ekkelenkamp,3.2
19,Jurrien Timber*,2.0
20,Kjell Scherpen,1.5
21,Dominik Kotarski,1.3
22,Klaas-Jan Huntelaar,0.8
23,Maarten Stekelenburg,0.55
