,State,Direct economic output (in billion U.S. dollars)
0,Florida,7.5
1,California,6.9
2,Texas,3.4
3,New York,2.9
4,North Carolina,2.6
5,Ohio,2.4
6,Georgia,2.4
7,Michigan,2.2
8,Illinois,2.1
9,Arizona,2.1
10,New Jersey,1.8
11,Virginia,1.6
12,Hawaii,1.4
13,South Carolina,1.4
14,Massachusetts,1.4
15,Wisconsin,1.2
16,Washington,1.2
17,Oregon,1.2
18,Minnesota,1.2
19,Pennsylvania,1.1
20,Indiana,0.91
21,Connecticut,0.64
22,Colorado,0.56
23,New Mexico,0.48
24,Louisiana,0.45
25,Iowa,0.43
26,Kentucky,0.37
