,country,Per capita water consumption in cubic meters
0,United States  (2015),1206.82
1,Greece  (2018),962.04
2,Canada  (2015),855.26
3,Turkey  (2018),741.97
4,Mexico  (2017),703.99
5,Australia (2017),703.12
6,Spain  (2016),670.32
7,Japan  (2016),623.25
8,Costa Rica  (2017),589.31
9,Netherlands  (2016),470.44
10,Portugal  (2017),470.12
11,Slovenia  (2018),460.77
12,South Korea  (2017),458.03
13,Russia  (2017),430.48
14,China  (2017),419.57
15,France (2017),417.49
16,Hungary  (2016),405.91
17,Belgium  (2015),353.84
18,Ireland  (2018),338.27
19,Brazil  (2016),305.81
20,Germany  (2016),297.34
21,Poland  (2018),272.5
22,Sweden  (2015),243.22
23,Denmark  (2018),186.83
24,Czechia (2018),149.18
25,Israel  (2018),132.67
26,Latvia  (2018),106.55
27,Slovakia  (2018),105.1
28,Lithuania (2018),102.08
29,Luxembourg  (2016),77.68
