,Quarter,Revenue in billion U.S. dollars
0,Q3 '20,96.15
1,Q2 '20,88.91
2,Q1 '20,75.45
3,Q4 '19,87.44
4,Q3 '19,69.98
5,Q2 '19,63.4
6,Q1 '19,59.7
7,Q4 '18,72.38
8,Q3 '18,56.58
9,Q2 '18,52.89
10,Q1 '18,51.04
11,Q4 '17,60.5
12,Q3 '17,43.74
13,Q2 '17,37.96
14,Q1 '17,35.71
15,Q4 '16,43.74
16,Q3 '16,32.71
17,Q2 '16,30.4
18,Q1 '16,29.13
19,Q4 '15,35.75
20,Q3 '15,25.36
21,Q2 '15,23.19
22,Q1 '15,22.72
23,Q4 '14,29.33
24,Q3 '14,20.58
25,Q2 '14,19.34
26,Q1 '14,19.74
27,Q4 '13,25.59
28,Q3 '13,17.09
29,Q2 '13,15.7
30,Q1 '13,16.07
31,Q4 '12,21.27
32,Q3 '12,13.81
33,Q2 '12,12.83
34,Q1 '12,13.19
35,Q4 '11,17.43
36,Q3 '11,10.88
37,Q2 '11,9.91
38,Q1 '11,9.86
39,Q4 '10,12.95
40,Q3 '10,7.56
41,Q2 '10,6.57
42,Q1 '10,7.13
43,Q4 '09,9.52
44,Q3 '09,5.45
45,Q2 '09,4.65
46,Q1 '09,4.89
47,Q4 '08,6.7
48,Q3 '08,4.26
49,Q2 '08,4.06
50,Q1 '08,4.14
51,Q4 '07,5.67
52,Q3 '07,3.26
53,Q2 '07,2.89
54,Q1 '07,3.02
