,Month,Number of deaths
0,"Dec 16, 2020",7893
1,"Dec 15, 2020",7863
2,"Dec 14, 2020",7848
3,"Dec 13, 2020",7826
4,"Dec 12, 2020",7803
5,"Dec 11, 2020",7775
6,"Dec 10, 2020",7736
7,"Dec 9, 2020",7694
8,"Dec 8, 2020",7652
9,"Dec 7, 2020",7619
10,"Dec 6, 2020",7580
11,"Dec 5, 2020",7510
12,"Dec 4, 2020",7473
13,"Dec 3, 2020",7418
14,"Dec 2, 2020",7346
15,"Dec 1, 2020",7278
16,"Nov 30, 2020",7215
17,"Nov 29, 2020",7153
18,"Nov 28, 2020",7103
19,"Nov 27, 2020",7054
20,"Nov 26, 2020",6991
21,"Nov 25, 2020",6933
22,"Nov 24, 2020",6863
23,"Nov 23, 2020",6796
24,"Nov 22, 2020",6742
25,"Nov 21, 2020",6683
26,"Nov 20, 2020",6633
27,"Nov 19, 2020",6587
28,"Nov 18, 2020",6542
29,"Nov 17, 2020",6491
30,"Nov 16, 2020",6451
31,"Nov 15, 2020",6414
32,"Nov 14, 2020",6375
33,"Nov 13, 2020",6338
34,"Nov 12, 2020",6305
35,"Nov 11, 2020",6277
36,"Nov 10, 2020",6250
37,"Nov 9, 2020",6215
38,"Nov 8, 2020",6180
39,"Nov 7, 2020",6158
40,"Nov 6, 2020",6132
41,"Nov 5, 2020",6107
42,"Nov 4, 2020",6085
43,"Nov 3, 2020",6064
44,"Nov 2, 2020",6045
45,"Nov 1, 2020",6025
46,"Oct 31, 2020",6000
47,"Oct 30, 2020",5982
48,"Oct 29, 2020",5975
49,"Oct 28, 2020",5967
50,"Oct 27, 2020",5953
51,"Oct 26, 2020",5950
52,"Oct 25, 2020",5940
53,"Oct 24, 2020",5933
54,"Oct 23, 2020",5926
55,"Oct 22, 2020",5920
56,"Oct 21, 2020",5911
57,"Oct 20, 2020",5908
58,"Oct 19, 2020",5900
59,"Oct 18, 2020",5900
60,"Oct 17, 2020",5899
61,"Oct 16, 2020",5896
62,"Oct 15, 2020",5894
63,"Oct 14, 2020",5891
64,"Oct 13, 2020",5889
65,"Oct 12, 2020",5888
66,"Oct 11, 2020",5885
67,"Oct 10, 2020",5883
68,"Oct 9, 2020",5878
69,"Oct 8, 2020",5873
70,"Oct 7, 2020",5872
71,"Oct 6, 2020",5869
72,"Oct 5, 2020",5865
73,"Oct 4, 2020",5863
74,"Oct 3, 2020",5860
75,"Oct 2, 2020",5857
76,"Oct 1, 2020",5854
77,"Sep 30, 2020",5853
78,"Sep 29, 2020",5849
79,"Sep 28, 2020",5847
80,"Sep 27, 2020",5846
81,"Sep 26, 2020",5845
82,"Sep 25, 2020",5843
83,"Sep 24, 2020",5839
84,"Sep 23, 2020",5838
85,"Sep 22, 2020",5838
86,"Sep 21, 2020",5837
87,"Sep 20, 2020",5835
88,"Sep 19, 2020",5831
89,"Sep 18, 2020",5830
90,"Sep 17, 2020",5829
91,"Sep 16, 2020",5828
92,"Sep 15, 2020",5826
93,"Sep 14, 2020",5825
94,"Sep 13, 2020",5823
95,"Sep 12, 2020",5821
96,"Sep 11, 2020",5820
97,"Sep 10, 2020",5816
98,"Sep 9, 2020",5814
99,"Sep 8, 2020",5812
100,"Sep 7, 2020",5811
101,"Sep 6, 2020",5810
102,"Sep 5, 2020",5807
103,"Sep 4, 2020",5807
104,"Sep 3, 2020",5807
105,"Sep 2, 2020",5805
106,"Sep 1, 2020",5803
107,"Aug 31, 2020",5800
108,"Aug 30, 2020",5798
109,"Aug 29, 2020",5795
110,"Aug 28, 2020",5794
111,"Aug 27, 2020",5793
112,"Aug 26, 2020",5792
113,"Aug 25, 2020",5790
114,"Aug 24, 2020",5789
115,"Aug 23, 2020",5788
116,"Aug 22, 2020",5785
117,"Aug 21, 2020",5784
118,"Aug 20, 2020",5779
119,"Aug 19, 2020",5777
120,"Aug 18, 2020",5776
121,"Aug 17, 2020",5772
122,"Aug 16, 2020",5769
123,"Aug 15, 2020",5769
124,"Aug 14, 2020",5768
125,"Aug 13, 2020",5767
126,"Aug 12, 2020",5762
127,"Aug 11, 2020",5759
128,"Aug 10, 2020",5755
129,"Aug 9, 2020",5753
130,"Aug 8, 2020",5749
131,"Aug 7, 2020",5748
132,"Aug 6, 2020",5746
133,"Aug 5, 2020",5742
134,"Aug 4, 2020",5741
135,"Aug 3, 2020",5739
136,"Aug 2, 2020",5735
137,"Aug 1, 2020",5732
138,"Jul 31, 2020",5730
139,"Jul 30, 2020",5728
140,"Jul 29, 2020",5728
141,"Jul 28, 2020",5727
142,"Jul 27, 2020",5723
143,"Jul 26, 2020",5717
144,"Jul 25, 2020",5715
145,"Jul, 24 2020",5714
146,"Jul 23, 2020",5711
147,"Jul 22, 2020",5706
148,"Jul 21, 2020",5700
149,"Jul 20, 2020",5693
150,"Jul 19, 2020",5687
151,"Jul 18, 2020",5680
152,"Jul 17, 2020",5669
153,"Jul 16, 2020",5662
154,"Jul 15, 2020",5656
155,"Jul 14, 2020",5650
156,"Jul 13, 2020",5642
157,"Jul 12, 2020",5630
158,"Jul 11, 2020",5621
159,"Jul 10, 2020",5611
160,"Jul 09, 2020",5597
161,"Jul 08, 2020",5582
162,"Jul 07, 2020",5571
163,"Jul 06, 2020",5559
164,"Jul 05, 2020",5544
165,"Jul 04, 2020",5535
166,"Jul 03, 2020",5520
167,"Jul 02, 2020",5512
168,"Jul 01, 2020",5497
169,"Jun 30, 2020",5482
170,"Jun 29, 2020",5462
171,"Jun 28, 2020",5446
172,"Jun 27, 2020",5423
173,"Jun 26, 2020",5409
174,"Jun 25, 2020",5398
175,"Jun 24, 2020",5375
176,"Jun 23, 2020",5353
177,"Jun 22, 2020",5328
178,"Jun 21, 2020",5308
179,"Jun 20, 2020",5286
180,"Jun 19, 2020",5257
181,"Jun 18, 2020",5227
182,"Jun 17, 2020",5198
183,"Jun 16, 2020",5166
184,"Jun 15, 2020",5138
185,"Jun 14, 2020",5108
186,"Jun 13, 2020",5081
187,"Jun 12, 2020",5048
188,"Jun 11, 2020",5019
189,"Jun 10, 2020",4984
190,"Jun 09, 2020",4944
191,"Jun 08, 2020",4911
192,"Jun 07, 2020",4873
193,"Jun 06, 2020",4840
194,"Jun 05, 2020",4811
195,"Jun 04, 2020",4774
196,"Jun 03, 2020",4731
197,"Jun 02, 2020",4703
198,"Jun 01, 2020",4667
199,"May 31, 2020",4628
200,"May 30, 2020",4582
201,"May 29, 2020",4543
202,"May 28, 2020",4502
203,"May 27, 2020",4462
204,"May 26, 2020",4424
205,"May 25, 2020",4396
206,"May 24, 2020",4354
207,"May 23, 2020",4310
208,"May 22, 2020",4255
209,"May 21, 2020",4199
210,"May 20, 2020",4145
211,"May 19, 2020",4093
212,"May 18, 2020",4052
213,"May 17, 2020",3993
214,"May 16, 2020",3940
215,"May 15, 2020",3892
216,"May 14, 2020",3834
217,"May 13, 2020",3788
218,"May 12, 2020",3738
219,"May 11, 2020",3677
220,"May 10, 2020",3612
221,"May 09, 2020",3539
222,"May 08, 2020",3471
223,"May 07, 2020",3411
224,"May 06, 2020",3331
225,"May 05, 2020",3258
226,"May 04, 2020",3186
227,"May 03, 2020",3102
228,"May 02, 2020",3027
229,"May 01, 2020",2954
230,"Apr 30, 2020",2876
231,"Apr 29, 2020",2798
232,"Apr 28, 2020",2715
233,"Apr 27, 2020",2632
234,"Apr 26, 2020",2558
235,"Apr 25, 2020",2484
236,"Apr 24, 2020",2411
237,"Apr 23, 2020",2322
238,"Apr 22, 2020",2236
239,"Apr 21, 2020",2159
240,"Apr 20, 2020",2097
241,"Apr 19, 2020",2012
242,"Apr 18, 2020",1925
243,"Apr 17, 2020",1839
244,"Apr 16, 2020",1756
245,"Apr 15, 2020",1645
246,"Apr 14, 2020",1530
247,"Apr 13, 2020",1438
248,"Apr 12, 2020",1354
249,"Apr 11, 2020",1257
250,"Apr 10, 2020",1155
251,"Apr 09, 2020",1065
252,"Apr 08, 2020",979
253,"Apr 07, 2020",864
254,"Apr 06, 2020",780
255,"Apr 05, 2020",690
256,"Apr 04, 2020",605
257,"Apr 03, 2020",535
258,"Apr 02, 2020",455
259,"Apr 01, 2020",385
260,"Mar 31, 2020",332
261,"Mar 30, 2020",284
262,"Mar 29, 2020",239
263,"Mar 28, 2020",201
264,"Mar 27, 2020",166
265,"Mar 26, 2020",134
266,"Mar 25, 2020",103
267,"Mar 24, 2020",81
268,"Mar 23, 2020",60
269,"Mar 22, 2020",49
270,"Mar 21, 2020",38
271,"Mar 20, 2020",30
272,"Mar 19, 2020",21
273,"Mar 18, 2020",14
274,"Mar 17, 2020",8
275,"Mar 16, 2020",7
276,"Mar 15, 2020",5
277,"Mar 14, 2020",3
278,"Mar 13, 2020",2
279,"Mar 12, 2020",1
280,"Mar 11, 2020",1
