,Quarter,Revenue in million U.S. dollars
0,Q4 '19,1007.43
1,Q3 '19,823.72
2,Q2 '19,841.38
3,Q1 '19,786.89
4,Q4 '18,908.84
5,Q3 '18,758.11
6,Q2 '18,710.54
7,Q1 '18,664.87
8,Q4 '17,731.56
9,Q3 '17,589.63
10,Q2 '17,573.86
11,Q1 '17,548.25
12,Q4 '16,717.21
13,Q3 '16,615.93
14,Q2 '16,601.96
15,Q1 '16,594.52
16,Q4 '15,710.47
17,Q3 '15,569.24
18,Q2 '15,502.38
19,Q1 '15,435.94
20,Q4 '14,479.08
21,Q3 '14,361.27
22,Q2 '14,312.17
23,Q1 '14,250.49
24,Q4 '13,242.68
25,Q3 '13,168.58
26,Q2 '13,139.29
27,Q1 '13,114.34
28,Q4 '12,112.25
29,Q3 '12,82.33
30,Q2 '12,68.05
31,Q1 '12,54.31
32,Q4 '11,41.21
33,Q3 '11,26.42
34,Q2 '11,20.77
35,Q1 '11,17.91
