,Year,GDP per capita in U.S. dollars
0,2025*,39113.24
1,2024*,37405.25
2,2023*,35682.61
3,2022*,34011.76
4,2021*,32305.25
5,2020*,30644.43
6,2019*,31846.22
7,2018,33422.94
8,2017,31616.84
9,2016,29286.64
10,2015,28732.23
11,2014,29249.58
12,2013,25890.02
13,2012,24358.78
14,2011,24079.79
15,2010,22086.95
16,2009,18291.92
17,2008,20430.64
18,2007,23060.71
19,2006,20888.38
20,2005,18639.52
21,2004,15907.68
22,2003,14209.34
23,2002,12782.54
24,2001,11252.87
25,2000,11947.6
26,1999,10409.36
27,1998,8085.34
28,1997,12131.89
29,1996,13137.85
30,1995,12332.93
31,1994,10205.86
32,1993,8740.94
33,1992,8001.53
34,1991,7523.44
35,1990,6516.27
36,1989,5736.94
37,1988,4686.15
38,1987,3511.0
39,1986,2803.36
40,1985,2457.33
