,Year,Number of children born per woman
0,2018,1.88
1,2017,1.9
2,2016,1.92
3,2015,1.96
4,2014,2.0
5,2013,1.99
6,2012,2.01
7,2011,2.01
8,2010,2.03
9,2009,2.0
10,2008,2.01
11,2007,1.98
12,2006,2.0
13,2005,1.94
14,2004,1.92
15,2003,1.89
16,2002,1.88
17,2001,1.9
18,2000,1.89
19,1999,1.81
20,1998,1.78
21,1997,1.77
22,1996,1.75
23,1995,1.74
24,1994,1.73
25,1993,1.73
26,1992,1.74
27,1991,1.75
28,1990,1.77
29,1989,1.79
30,1988,1.81
31,1987,1.83
32,1986,1.85
33,1985,1.86
34,1984,1.86
35,1983,1.86
36,1982,1.86
37,1981,1.85
38,1980,1.85
39,1979,1.87
40,1978,1.89
41,1977,1.94
42,1976,2.01
43,1975,2.09
44,1974,2.18
45,1973,2.28
46,1972,2.38
47,1971,2.47
48,1970,2.55
49,1969,2.62
50,1968,2.69
51,1967,2.75
52,1966,2.8
53,1965,2.84
54,1964,2.87
55,1963,2.89
56,1962,2.89
57,1961,2.87
58,1960,2.85
