,State,Unemployment rate
0,Mississippi,23%
1,South Carolina,22.9%
2,Georgia,20.6%
3,California,20.2%
4,North Carolina,18.8%
5,Illinois,18.5%
6,New Jersey,18.2%
7,New York,18%
8,Oregon,17.9%
9,Arkansas,17.7%
10,Arizona,17.6%
11,Nevada,17.6%
12,Idaho,17.3%
13,Rhode Island,17.2%
14,Connecticut,17%
15,Kentucky,16.9%
16,Michigan,16.9%
17,Virginia,16.8%
18,Colorado,16.7%
19,Washington,16.7%
20,Louisiana,16.7%
21,Maine,16.6%
22,Florida,16.4%
23,Alabama,16.3%
24,Missouri,16.1%
25,West Virginia,15.7%
26,District of Columbia,15.6%
27,Delaware,15.2%
28,Indiana,14.9%
29,Alaska,14.8%
30,Hawaii,13.5%
31,Texas,13.5%
32,Tennessee,13.5%
33,Pennsylvania,13.4%
34,Maryland,13.4%
35,New Hampshire,13.4%
36,Kansas,13.2%
37,Vermont,13.1%
38,Wisconsin,12.9%
39,Wyoming,12.7%
40,New Mexico,12.6%
41,Ohio,12.6%
42,Massachusetts,12.2%
43,Utah,11.9%
44,Montana,11.1%
45,Iowa,11%
46,Minnesota,11%
47,Oklahoma,10.8%
48,South Dakota,9.9%
49,Nebraska,8.9%
50,North Dakota,7.2%
