,Month,Inflation rate
0,Jul '20,2.6%
1,Jun '20,2.9%
2,May '20,1.3%
3,Apr '20,2.6%
4,Mar '20,1.8%
5,Feb '20,1.8%
6,Jan '20,1.2%
7,Dec '19,0.9%
8,Nov '19,0.5%
9,Oct '19,0.7%
10,Sep '19,0.8%
11,Aug '19,1.5%
12,Jul '19,1.1%
13,Jun '19,0.9%
14,May '19,1%
15,Apr '19,1.2%
16,Mar '19,1.5%
17,Feb '19,1.1%
18,Jan '19,1.2%
19,Dec '18,0.8%
20,Nov '18,0.9%
21,Oct '18,1.2%
22,Sep '18,1.3%
23,Aug '18,1.2%
24,Jul '18,2%
25,Jun '18,2%
26,May '18,1.9%
27,Apr '18,2.1%
28,Mar '18,1.8%
29,Feb '18,1.2%
30,Jan '18,2%
31,Dec '17,3.2%
32,Nov '17,3.2%
33,Oct '17,3.2%
34,Sep '17,3.1%
35,Aug '17,2.5%
36,Jul '17,2.2%
37,Jun '17,2.3%
38,May '17,2.1%
39,Apr '17,1.1%
40,Mar '17,1.6%
41,Feb '17,2.3%
42,Jan '17,1.8%
43,Dec '16,1%
44,Nov '16,1.2%
45,Oct '16,1.1%
46,Sep '16,0.5%
47,Aug '16,0.9%
48,Jul '16,0.5%
49,Jun '16,0.1%
50,May '16,0.1%
51,Apr '16,0.9%
52,Mar '16,0.7%
53,Feb '16,1.1%
54,Jan '16,0.6%
55,Dec '15,0.4%
56,Nov '15,0.4%
57,Oct '15,0.5%
58,Sep '15,0.8%
59,Aug '15,0.8%
60,Jul '15,0.88%
61,Jun '15,0.97%
62,May '15,1.1%
