,Year,Gross domestic product in billion international dollars
0,2021*,2432.78
1,2020*,2307.72
2,2019,2320.5
3,2018,2235.29
4,2017,2125.48
5,2016,2022.29
6,2015,1944.27
7,2014,1871.66
8,2013,1780.63
9,2012,1696.25
10,2011,1625.28
11,2010,1535.43
12,2009,1421.04
13,2008,1399.2
14,2007,1332.36
15,2006,1226.38
16,2005,1130.83
17,2004,1051.37
18,2003,973.22
19,2002,926.33
20,2001,846.51
21,2000,790.01
22,1999,708.53
23,1998,626.6
24,1997,653.12
25,1996,604.74
26,1995,550.43
27,1994,491.84
28,1993,440.71
29,1992,402.8
30,1991,370.84
31,1990,323.81
32,1989,284.07
33,1988,255.29
34,1987,220.2
35,1986,190.63
36,1985,167.86
37,1984,150.88
