,Year,Life expectancy in years
0,2018,74.55
1,2017,74.32
2,2016,74.06
3,2015,73.79
4,2014,73.52
5,2013,73.24
6,2012,72.98
7,2011,72.72
8,2010,72.48
9,2009,72.24
10,2008,72.02
11,2007,71.79
12,2006,71.55
13,2005,71.3
14,2004,71.01
15,2003,70.7
16,2002,70.35
17,2001,69.98
18,2000,69.6
19,1999,69.21
20,1998,68.83
21,1997,68.48
22,1996,68.17
23,1995,67.92
24,1994,67.72
25,1993,67.59
26,1992,67.51
27,1991,67.47
28,1990,67.45
29,1989,67.43
30,1988,67.38
31,1987,67.31
32,1986,67.18
33,1985,67.0
34,1984,66.76
35,1983,66.49
36,1982,66.18
37,1981,65.82
38,1980,65.43
39,1979,64.98
40,1978,64.48
41,1977,63.91
42,1976,63.27
43,1975,62.53
44,1974,61.71
45,1973,60.79
46,1972,59.77
47,1971,58.64
48,1970,57.33
49,1969,55.79
50,1968,54.02
51,1967,52.06
52,1966,49.99
53,1965,47.96
54,1964,46.12
55,1963,44.6
56,1962,43.47
57,1961,42.77
58,1960,42.43
