,Year,Index points
0,'19,28189.75
1,'18,25845.7
2,'17,29919.15
3,'16,22000.56
4,'15,21914.4
5,'14,23605.04
6,'13,23306.4
7,'12,22656.9
8,'11,18434.4
9,'10,23035.4
10,'09,21872.5
11,'08,14387.5
12,'07,27812.7
13,'06,19964.7
14,'05,14876.4
15,'04,14230.1
16,'03,12575.9
17,'02,9321.29
18,'01,11397.2
19,'00,15095.5
20,'99,16962.1
21,'98,10048.6
22,'97,10722.8
23,'96,13451.5
24,'95,10073.0
25,'94,8191.04
26,'93,11888.4
27,'92,5512.39
28,'91,4297.33
29,'90,3024.55
30,'89,2836.57
31,'88,2687.44
32,'87,2302.75
33,'86,2568.3
