,Quarter,Revenue in million U.S. dollars
0,Q4 '19,45812
1,Q3 '19,40344
2,Q2 '19,38782
3,Q1 '19,36169
4,Q4 '18,38998
5,Q3 '18,33594
6,Q2 '18,32512
7,Q1 '18,30996
8,Q4 '17,32192
9,Q3 '17,27470
10,Q2 '17,25913
11,Q1 '17,24618
12,Q4 '16,25802
13,Q3 '16,22254
14,Q2 '16,21315
15,Q1 '16,20092
16,Q4 '15,21179
17,Q3 '15,18534
18,Q2 '15,17653
19,Q1 '15,17178
20,Q4 '14,17997
21,Q3 '14,16523
22,Q2 '14,15955
23,Q1 '14,15420
24,Q4 '13,15707
25,Q3 '13,13754
26,Q2 '13,13107
27,Q1 '13,12951
28,Q4 '12,12905
29,Q3 '12,11526
30,Q2 '12,10964
31,Q1 '12,10645
32,Q4 '11,10584
33,Q3 '11,9720
34,Q2 '11,9026
35,Q1 '11,8575
36,Q4 '10,8440
37,Q3 '10,7286
38,Q2 '10,6820
39,Q1 '10,6775
40,Q4 '09,6674
41,Q3 '09,5945
42,Q2 '09,5523
43,Q1 '09,5509
44,Q4 '08,5701
45,Q3 '08,5541
46,Q2 '08,5637
47,Q1 '08,5186
