,Month,Number of available apps
0,Dec '19,2900000
1,Sep '19,2800000
2,Jun '19,2700000
3,Mar '19,2600000
4,Dec '18,2600000
5,Sep '18,2600000
6,Jun '18,3300000
7,Mar '18,3600000
8,Dec '17,3500000
9,Sep '17,3300000
10,Jun '17,3000000
11,Mar '17,2800000
12,Dec '16,2600000
13,Sep '16,2400000
14,Feb '16,2000000
15,Nov '15,1800000
16,Jul '15,1600000
17,Feb '15,1400000
18,Jul '14,1300000
19,Jul '13,1000000
20,Apr '13,850000
21,Oct '12,700000
22,Sep '12,675000
23,Jun '12,600000
24,May '12,500000
25,Feb '12,450000
26,Dec '11,400000
27,Aug '11,300000
28,Jul '11,250000
29,Apr '11,200000
30,Oct '10,100000
31,Jul '10,70000
32,Apr '10,38000
33,Mar '10,30000
34,Dec '09,16000
