,Year,Inflation rate compared to previous year
0,2021*,3.7%
1,2020*,319.04%
2,2019,255.29%
3,2018,10.61%
4,2017,0.91%
5,2016,-1.56%
6,2015,-2.41%
7,2014,-0.21%
8,2013,1.63%
9,2012,3.72%
10,2011,3.47%
11,2010,3.04%
12,2009,6.22%
13,2008,156.96%
14,2007,-72.73%
15,2006,32.97%
16,2005,-31.52%
17,2004,113.57%
18,2003,-8.57%
19,2002,-34.45%
20,2001,-37.2%
21,2000,4.48%
22,1999,-13.43%
23,1998,-28.02%
24,1997,-0.97%
25,1996,6.01%
26,1995,15.23%
27,1994,-2.76%
28,1993,0.38%
29,1992,-3%
30,1991,-13.14%
31,1990,1.35%
32,1989,-3.85%
33,1988,-1.06%
34,1987,12.79%
35,1986,10.67%
36,1985,-16.01%
37,1984,-1.86%
