,Year,GDP in billion U.S. dollars
0,2024*,3149.85
1,2023*,3024.98
2,2022*,2911.12
3,2021*,2806.24
4,2020*,2716.53
5,2019*,2743.59
6,2018,2828.83
7,2017,2640.07
8,2016,2669.11
9,2015,2897.06
10,2014,3036.31
11,2013,2755.36
12,2012,2677.08
13,2011,2635.8
14,2010,2455.31
15,2009,2403.36
16,2008,2934.75
17,2007,3085.3
18,2006,2700.95
19,2005,2527.84
20,2004,2404.7
21,2003,2045.69
22,2002,1775.81
23,2001,1626.22
24,2000,1651.39
25,1999,1668.68
26,1998,1641.82
27,1997,1553.95
28,1996,1410.85
29,1995,1336.13
30,1994,1235.02
31,1993,149.99
32,1992,1284.45
33,1991,1244.81
34,1990,1191.02
35,1989,1005.57
36,1988,988.3
37,1987,812.01
38,1986,654.76
39,1985,536.81
40,1984,504.48
