,notifiable disease,Funding in million U.S. dollars
0,Total,4055.0
1,HIV/AIDS,1451.0
2,Tuberculosis,685.0
3,Malaria,663.0
4,Diarrhoeal diseases,171.0
5,Kinetoplastids,149.0
6,Bacterial pneunomia/meningitis,92.0
7,Salmonella infections,90.0
8,Worms and flukes,89.0
9,Dengue fever,80.0
10,"Hepatitis C genotype 4,5, and 6",46.0
11,Leprosy,10.0
12,Cryptococcal meningitis,7.7
13,Snakebite envenoming,6.6
14,Hepatitis B,5.7
15,Buruli ulcer,3.3
16,Trachoma,2.1
17,Leptospirosis,1.7
18,Rheumatic fever,1.7
19,Mycetoma,0.9
20,Platform technologies,43.0
21,Multi-disease vector control products,31.0
22,Core funding of a multidisease R&D organization,363.0
23,Unspecified disease,63.0
