,Country,"Number of deaths per 100,000 population"
0,Belgium,172.41
1,Slovenia,138.93
2,Italy,124.81
3,Czechia,113.34
4,United Kingdom,112.57
5,Bulgaria,109.69
6,Spain,108.82
7,Hungary,102.09
8,Croatia,99.9
9,France,97.05
10,Liechtenstein,91.2
11,Sweden,87.83
12,Luxembourg,82.42
13,Romania,82.3
14,Poland,76.79
15,Austria,70.59
16,Portugal,69.26
17,Netherlands,67.11
18,Lithuania,48.71
19,Slovakia,46.25
20,Greece,46.22
21,Ireland,46.06
22,Malta,44.57
23,Germany,41.65
24,Latvia,35.42
25,Denmark,23.66
26,Estonia,18.95
27,Cyprus,14.96
28,Finland,10.24
29,Norway,8.43
30,Iceland,8.12
