,Country,Number of hotel rooms
0,Italy,1092758
1,Germany,993298
2,Spain,933500
3,Turkey*,693162
4,France,654478
5,Greece*,420991
6,Austria,290878
7,Poland,176925
8,Portugal,157325
9,Czech Republic,141110
10,Switzerland*,140884
11,Netherlands,138546
12,Sweden,129033
13,Bulgaria,127052
14,Romania,117125
15,Norway*,89381
16,Croatia,82038
17,Hungary,75013
18,Belgium,61023
19,Finland,60444
20,Denmark,51633
21,Slovakia,44352
22,Cyprus,43792
23,Serbia*,27318
24,Malta,20133
25,Lithuania,18140
26,Estonia,17017
27,Iceland,15855
28,Latvia,13389
29,North Macedonia,10737
30,Luxembourg,7492
31,Liechtenstein,782
