,Company,Price in million U.S. dollars
0,Motorola Mobility (2012),12500.0
1,Nest Labs (2014),3200.0
2,DoubleClick (2008),3100.0
3,YouTube (2006),1650.0
4,Part of HTC mobile division and licenses (2017)**,1100.0
5,Waze (2013),1100.0
6,AdMob (2009),750.0
7,ITA Software (2012),700.0
8,Postini (2007),625.0
9,Apigee (2016),625.0
10,DeepMind (2014),500.0
11,Skybox Imaging (2014),500.0
12,Admeld (2011)*,391.08
13,Bebop (2015),380.2
14,Wildfire (2012),350.0
15,Slide (2010),182.0
16,Widevine Technologies (2010),160.0
17,Zagat (2011),151.0
18,On2 Technologies (2010),130.0
19,Channel Intelligence (2013),125.0
20,Divide (2014),120.0
21,dMarc Broadcasting (2006),102.0
22,Applied Semantics (2003),102.0
23,Meebo (2012),100.0
24,FeedBurner (2007),100.0
25,Invite Media (2010),80.0
26,Global IP Solutions (2010),68.2
27,Android (2012),50.0
