,Household composition,Percentage of respondents
0,"One adult, retired mainly dependent on state pensions*",87%
1,"One adult, other retired",93%
2,"One adult, non-retired",94%
3,"One adult, one child",97%
4,"One adult, two or more children",100%
5,"Two adults, retired mainly dependent on state pensions*",100%
6,"Two adults, other retired",99%
7,"Two adults, non-retired",99%
8,"Two adults, one child",100%
9,"Two adults, two children",100%
10,"Two adults, three children",100%
11,"Two adults, four or more children",100%
12,Three adults,99%
13,"Three adults, one or more children",100%
14,All other households without children,100%
15,All other households with children,100%
