,State,Percentage of population
0,California,26.9%
1,New Jersey,22.8%
2,New York,22.8%
3,Florida,21%
4,Nevada,19.4%
5,Hawaii,18.7%
6,Massachusetts,17.4%
7,Texas,17.2%
8,Maryland,15.1%
9,Washington,14.7%
10,Connecticut,14.6%
11,Illinois,14.1%
12,District of Columbia,13.9%
13,United States,13.7%
14,Arizona,13.4%
15,Rhode Island,13.2%
16,Virginia,12.5%
17,Oregon,10.3%
18,Georgia,10.1%
19,Colorado,9.6%
20,New Mexico,9.5%
21,Delaware,9.4%
22,Utah,8.6%
23,Minnesota,8.6%
24,Alaska,8.2%
25,North Carolina,7.9%
26,Kansas,7.2%
27,Pennsylvania,7.2%
28,Nebraska,7.2%
29,Michigan,7%
30,New Hampshire,6.1%
31,Oklahoma,6%
32,Idaho,6%
33,Iowa,5.5%
34,Indiana,5.3%
35,South Carolina,5.1%
36,Wisconsin,5.1%
37,Tennessee,5.1%
38,Vermont,4.9%
39,Arkansas,4.8%
40,Ohio,4.8%
41,North Dakota,4.7%
42,Missouri,4.2%
43,Louisiana,4.2%
44,South Dakota,4%
45,Kentucky,3.8%
46,Maine,3.5%
47,Alabama,3.3%
48,Wyoming,3%
49,Mississippi,2.4%
50,Montana,2.2%
51,West Virginia,1.5%
