,Year,Inflation rate compared to previous year
0,2025*,1.98%
1,2024*,1.71%
2,2023*,1.53%
3,2022*,1.42%
4,2021*,1.15%
5,2020*,0.82%
6,2019,1.52%
7,2018,1.74%
8,2017,1.26%
9,2016,0.9%
10,2015,1.18%
11,2014,0.77%
12,2013,0.98%
13,2012,3.23%
14,2011,2.51%
15,2010,2.04%
16,2009,1.84%
17,2008,4.68%
18,2007,0.7%
19,2006,2.58%
20,2005,2.52%
21,2004,2.73%
22,2003,1.93%
23,2002,2.61%
24,2001,2.51%
25,2000,3.04%
26,1999,2.29%
27,1998,3.69%
28,1997,3.92%
29,1996,1.96%
30,1995,3.97%
31,1994,4.13%
32,1993,4.03%
33,1992,1.85%
34,1991,2.55%
35,1990,2.98%
36,1989,0.87%
37,1988,0.95%
38,1987,0.42%
39,1986,2.03%
40,1985,-0.24%
