,Response,Share of unemployed individuals
0,Imo,48.7%
1,Akwa Ibom,45.2%
2,Rivers,43.7%
3,Delta,40.3%
4,Kaduna,39.8%
5,Taraba,39.4%
6,Kogi,36%
7,Abia,35.5%
8,Plateau,35.2%
9,Niger,33.8%
10,Gombe,33.3%
11,Kano,31.6%
12,Cross River,31.6%
13,Adamawa,29.3%
14,Federal Capital Territory (FCT),29.1%
15,Bayelsa,27.8%
16,Enugu,27.2%
17,Yobe,26.8%
18,Katsina,23.6%
19,Benue,23.4%
20,Jigawa,22.4%
21,Bauchi,21.9%
22,Ondo,21.1%
23,Borno,19.9%
24,Lagos,19.5%
25,Edo,19%
26,Oyo,16.4%
27,Ogun,16.3%
28,Kebbi,16.1%
29,Nasarawa,16%
30,Ekiti,15.5%
31,Osun,15.3%
32,Ebonyi,14.6%
33,Zamfara,14%
34,Sokoto,13.9%
35,Kwara,13.8%
36,Anambra,13.1%
