,Year,Gross domestic product in billion international dollars
0,2019*,202.01
1,2018,305.46
2,2017,370.99
3,2016,431.8
4,2015,515.16
5,2014,543.67
6,2013,555.42
7,2012,538.61
8,2011,500.33
9,2010,470.44
10,2009,472.05
11,2008,483.98
12,2007,450.94
13,2006,403.8
14,2005,356.72
15,2004,313.59
16,2003,258.16
17,2002,274.76
18,2001,296.76
19,2000,280.86
20,1999,264.95
21,1998,277.77
22,1997,273.87
23,1996,253.1
24,1995,249.04
25,1994,234.65
26,1993,235.28
27,1992,229.2
28,1991,211.29
29,1990,186.25
30,1989,168.63
31,1988,188.51
32,1987,170.95
33,1986,159.19
34,1985,147.1
35,1984,141.36
