,Month,Attendance in millions
0,Dec 23-29,1.8
1,Dec 16-22,1.5
2,Dec 9-15,1.1
3,Dec 2-8,1.0
4,Nov 25-Dec 1,1.2
5,Nov 18-24,1.4
6,Nov 11-17,2.0
7,Nov 4-10,1.6
8,Oct 28-Nov 3,1.7
9,Oct 21-27,1.2
10,Oct 14-20,1.2
11,Oct 7-13,1.4
12,Sep 30-Oct 6,1.5
13,Sep 23-29,1.8
14,Sep 16-22,2.1
15,Sep 9-15,1.7
16,Sep 2-8,1.2
17,Aug 26-Sep 1,0.7
18,Aug 19-25,0.5
19,Aug 12-18,0.36
20,Aug 5-11,0.27
21,Jul 29-Aug 4,0.18
22,Jul 22-28,0.05
23,Jul 15-21,0.03
24,Jul 8-14,0.02
25,Jul 1-7,0.01
26,Jun 24-30*,0.0
27,Jun 17-23*,0.0
28,Jun 10-16*,0.0
29,Jun 3-9*,0.0
30,May 27-Jun 2*,0.0
31,May 20-26*,0.0
32,May 13-19*,0.0
33,May 6-12*,0.0
34,Apr 29-May 5*,0.0
35,Apr 22-28*,0.0
36,Apr 15-21*,0.0
37,Apr 8-14*,0.0
38,Apr 1-7,0.0
39,Mar 25-31,0.1
40,Mar 18-24,1.5
41,Mar 11-17,2.9
42,Mar 4-10,4.8
43,Feb 26-Mar 3,3.7
44,Feb 19-25,7.1
45,Feb 12-18,5.8
46,Feb 5-11,3.2
