,Month,Market share
0,Dec 19,3.84%
1,Nov 19,3.51%
2,Oct 19,3.55%
3,Sep 19,3.18%
4,Aug 19,3.9%
5,Jul 19,3.6%
6,Jun 19,3.27%
7,May 19,3.33%
8,Apr 19,3.52%
9,Mar 19,3.56%
10,Feb 19,3.99%
11,Jan 19,3.51%
12,Dec 18,3.31%
13,Nov 18,3.32%
14,Oct 18,3.53%
15,Sep 18,3.27%
16,Aug 18,4.21%
17,Jul 18,3.39%
18,Jun 18,3.31%
19,May 18,3.29%
20,Apr 18,3.71%
21,Mar 18,3.44%
22,Feb 18,3.79%
23,Jan 18,3.22%
24,Dec 17,2.71%
25,Nov 17,3.1%
26,Oct 17,3.29%
27,Sep 17,3.01%
28,Aug 17,3.4%
29,Jul 17,3%
30,Jun 17,3.16%
31,May 17,3.25%
32,Apr 17,3.55%
33,Mar 17,3.41%
34,Feb 17,3.94%
35,Jan 17,3.41%
36,Dec 16,3.23%
37,Nov 16,3.19%
38,Oct 16,3.29%
39,Sep 16,3.43%
40,Aug 16,3.88%
41,Jul 16,3.87%
