,Consulting firm,Average prestige score
0,McKinsey & Company,8.98
1,"Boston Consulting Group, Inc.",8.74
2,Bain & Company,8.6
3,Deloitte Consulting LLP,7.12
4,PricewaterhouseCoopers LLP (Consulting Practice),6.75
5,Booz Allen Hamilton,6.49
6,EY (Ernst &Young) LLP Consulting Practice,6.47
7,Accenture,6.45
8,KPMG LLP (Consulting Practice),6.16
9,Oliver Wyman,6.07
10,IBM Global Services,5.78
11,Parthenon-EY,5.76
12,A.T. Kearney,5.75
13,Strategy& (part of the PwC network),5.65
14,L.E.K. Consulting,5.47
15,Lockheed Martin Corporation (IT Consulting),5.19
16,"Gartner, Inc.",4.99
17,Grant Thornton LLP (Consulting Practice),4.72
18,Capgemini,4.71
19,Mercer LLC,4.7
20,Oracle Consulting,4.58
21,GE Healthcare Partners,4.52
22,Northrop Grumman Corporation (IT Consulting),4.47
23,SAP Services (IT Consulting),4.35
24,Navigant Consulting,4.31
