,Shows,Copies sold
0,Sorrisi e canzoni TV,439846
1,Settimanale Dipiu',377502
2,Telesette,326438
3,Venerdi' di Repubblica,252536
4,Oggi,235584
5,Io Donna,235410
6,Espresso,220529
7,Famiglia cristiana,215522
8,Dipiu' TV,195806
9,Gente,190742
10,D La Repubblica delle Donne,173123
11,Diva e Donna,157980
12,Sport Week,149843
13,Donna Moderna,141496
14,Intimita',140969
15,Guida TV nuova,130625
16,Chi,125039
17,F,113953
18,Grazia,113377
19,Vanity Fair,108632
20,Telepiu',101000
21,Grand Hotel,91536
22,TV Mia,90095
23,Elle,87253
24,Panorama,72569
25,Giallo,69105
26,Viversani e Belli,57739
27,Milano Finanza,53437
28,Dolomiten Magazin,53284
29,Confidenze,45490
30,Tu style,44613
31,Starbene,41834
32,Nuovo and Nuovo TV cucina,36270
33,Ci piace cucinare!,30885
34,Spy,22100
35,Autosprint,16508
36,Motosprint,11527
37,FF- Sudtiroler Magazin,8588
