,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Mining, quarrying, and oil and gas extraction",262.2
1,"Finance, insurance, real estate, rental, and leasing",244.05
2,Manufacturing,241.14
3,Professional and business services,203.76
4,Government and government enterprises,164.31
5,Wholesale trade,125.33
6,"Educational services, health care, and social assistance",114.9
7,Retail trade,93.34
8,Information,72.35
9,Construction,71.78
10,Transportation and warehousing,56.12
11,"Arts, entertainment, recreation, accommodation, and food services",50.63
12,Utilities,26.92
13,"Agriculture, forestry, fishing, and hunting",13.52
