,Year,Inflation rate compared to previous year
0,2025*,5.5%
1,2024*,5.5%
2,2023*,4.98%
3,2022*,5%
4,2021*,4.49%
5,2020*,4.26%
6,2019*,5.19%
7,2018,4.75%
8,2017,4.46%
9,2016,6.6%
10,2015,3.22%
11,2014,4.57%
12,2013,5%
13,2012,5.47%
14,2011,6.01%
15,2010,3.31%
16,2009,5.83%
17,2008,10.69%
18,2007,9.18%
19,2006,6.34%
20,2005,3.65%
21,2004,4.64%
22,2003,6.34%
23,2002,12.21%
24,2001,7.97%
25,2000,6.06%
26,1999,7.77%
27,1998,8.24%
28,1997,8.38%
29,1996,8.89%
30,1995,9.72%
31,1994,8.3%
32,1993,10.68%
33,1992,18.1%
34,1991,17.3%
35,1990,11.97%
36,1989,14.67%
37,1988,12.4%
38,1987,12.04%
39,1986,15.69%
40,1985,14.99%
