,fashion company,Turnover in thousand euros
0,Luxottica Group,8928889
1,Prada,3142148
2,Calzedonia Holding,2302772
3,Giorgio Armani,2108772
4,Max Mara Fashion Group,1597294
5,OVS,1457154
6,Moncler,1420074
7,OTB,1408179
8,D & G,1349254
9,Salvatore Ferragamo,1335269
10,Decathlon Italia*,1274463
11,Valentino,1223690
12,Ermenegildo Zegna Holditalia,1159254
13,Gucci Logistica*,1090168
14,Zara Italia*,1024139
15,LIR,996571
16,LVMH Italia*,982619
17,Safilo Group,962861
18,Benetton Group*,956676
19,Tod's,940499
