,Year,Crude birth rate
0,2020,12.0
1,2015,12.5
2,2010,13.8
3,2005,14.0
4,2000,14.3
5,1995,15.5
6,1990,15.7
7,1985,15.3
8,1980,14.8
9,1975,15.6
10,1970,17.6
11,1965,21.0
12,1960,23.8
13,1955,24.1
14,1950,24.76
15,1945,21.36
16,1940,19.02
17,1935,19.16
18,1930,22.48
19,1925,26.3
20,1920,27.92
21,1915,29.72
22,1910,30.33
23,1905,31.53
24,1900,33.05
25,1895,34.92
26,1890,36.8
27,1885,38.67
28,1880,40.25
29,1875,41.38
30,1870,42.5
31,1865,43.63
32,1860,45.05
33,1855,46.93
34,1850,48.8
35,1845,50.68
36,1840,52.14
37,1835,52.99
38,1830,53.84
39,1825,54.69
40,1820,47.72
41,1815,46.5
42,1810,47.2
43,1805,47.91
44,1800,48.33
