,Month,Month-on-month variation
0,Dec '17,1.1%
1,Nov '17,1.7%
2,Jan 20,-1%
3,Dec 19,-0.1%
4,Nov 19,0.2%
5,Oct 19,1%
6,Sep 19,0%
7,Aug 19,-0.1%
8,Jul 19,-0.6%
9,Jun 19,-0.1%
10,May 19,0.2%
11,Apr 19,1%
12,Mar 19,0.4%
13,Feb 19,0.2%
14,Jan 19,-1.3%
15,Dec 18,-0.4%
16,Nov 18,-0.1%
17,Oct 18,0.9%
18,Sep 18,0.2%
19,Aug 18,0.1%
20,Jul 18,-0.7%
21,Jun 18,0.3%
22,May 18,0.9%
23,Apr 18,0.8%
24,Mar 18,0.1%
25,Feb 18,0.1%
26,Jan 18,-1.1%
27,Dec 17,0%
28,Nov 17,0.5%
29,Oct 17,0.9%
30,Sep 17,0.2%
31,Aug 17,0.2%
32,Jul 17,-0.7%
33,Jun 17,0%
34,May 17,-0.1%
35,Apr 17,1%
36,Mar 17,0%
37,Feb 17,-0.4%
38,Jan 17,-0.5%
