,Country,FDI in million Canadian dollars
0,United States,455073
1,Netherlands,123861
2,United Kingdom,62349
3,Luxembourg,56022
4,Switzerland,51749
5,Japan,33638
6,People's Republic of China,21194
7,Hong Kong,20929
8,Germany,18106
9,Brazil,15376
10,France,14804
11,Bermuda,13251
12,Australia,11183
13,Ireland,7718
14,Cayman Islands,7713
15,Spain,6372
16,Belgium,5629
17,British Virgin Islands,5365
18,Norway,5166
19,United Arab Emirates,4285
20,South Korea,3230
21,Italy,2936
22,Poland,2849
23,Barbados,2793
24,Mexico,2352
25,Sweden,2348
26,Kuwait,2210
27,South Africa,2010
28,Hungary,1982
29,Russian Federation,1598
30,Chile,1242
31,Kyrgyzstan,1059
32,India,971
33,Nigeria,934
34,Denmark,882
35,Cyprus,766
36,Malta,728
37,Finland,647
38,Israel,330
39,Austria,294
40,Singapore,242
41,New Zealand,205
42,Venezuela,200
43,Taiwan,132
44,Peru,123
45,Indonesia,116
46,Liberia,96
47,Malaysia,93
48,Portugal,83
49,Thailand,79
50,Argentina,73
51,Mauritius,38
52,Panama,18
53,Morocco,1
54,Lebanon,-1
55,Costa Rica,-1
56,Colombia,-2
57,Syrian Arab Republic,-2
58,"Congo, Democratic Republic of the",-2
59,Iceland,-3
60,Philippines,-4
61,Uruguay,-26
62,Bahamas,-64
