,Month,Index score (2015=100)
0,Nov 20,108.9
1,Oct 20,109.1
2,Sep 20,109.1
3,Aug 20,108.6
4,Jul 20,109.1
5,Jun 20,108.6
6,May 20,108.5
7,Apr 20,108.5
8,Mar 20,108.6
9,Feb 20,108.6
10,Jan 20,108.2
11,Dec 19,108.5
12,Nov 19,108.5
13,Oct 19,108.3
14,Sep 19,108.5
15,Aug 19,108.4
16,Jul 19,107.9
17,Jun 19,107.9
18,May 19,107.9
19,Apr 19,107.6
20,Mar 19,107.0
21,Feb 19,106.8
22,Jan 19,106.3
23,Dec 18,107.1
24,Nov 18,107.0
25,Oct 18,106.7
26,Sep 18,106.6
27,Aug 18,106.5
28,Jul 18,105.8
29,Jun 18,105.8
30,May 18,105.8
31,Apr 18,105.4
32,Mar 18,105.0
33,Feb 18,104.9
34,Jan 18,104.4
35,Dec 17,104.9
36,Nov 17,104.6
37,Oct 17,104.2
38,Sep 17,104.1
39,Aug 17,103.8
40,Jul 17,103.2
41,Jun 17,103.3
42,May 17,103.3
43,Apr 17,102.9
44,Mar 17,102.5
45,Feb 17,102.1
46,Jan 17,101.4
47,Dec 16,101.9
48,Nov 16,101.4
49,Oct 16,101.2
50,Sep 16,101.1
51,Aug 16,100.9
52,Jul 16,100.6
53,Jun 16,100.6
54,May 16,100.4
55,Apr 16,100.2
56,Mar 16,100.2
57,Feb 16,99.8
58,Jan 16,99.5
59,Dec 15,100.3
60,Nov 15,100.3
61,Oct 15,100.3
62,Sep 15,100.2
63,Aug 15,100.3
64,Jul 15,100.0
65,Jun 15,100.2
66,May 15,100.1
67,Apr 15,99.9
68,Mar 15,99.7
69,Feb 15,99.5
70,Jan 15,99.3
71,Dec 14,100.1
72,Nov 14,100.1
73,Oct 14,100.4
74,Sep 14,100.3
75,Aug 14,100.2
76,Jul 14,99.9
77,Jun 14,100.2
78,May 14,100.0
79,Apr 14,100.1
80,Mar 14,99.7
81,Feb 14,99.5
82,Jan 14,99.0
83,Dec 13,99.6
84,Nov 13,99.2
85,Oct 13,99.1
86,Sep 13,99.1
87,Aug 13,98.7
88,Jul 13,98.3
89,Jun 13,98.3
90,May 13,98.5
91,Apr 13,98.3
92,Mar 13,98.1
93,Feb 13,97.8
94,Jan 13,97.1
95,Dec 12,97.6
96,Nov 12,97.2
97,Oct 12,97.0
98,Sep 12,96.5
99,Aug 12,96.1
100,Jul 12,95.6
101,Jun 12,95.5
102,May 12,95.9
103,Apr 12,96.0
104,Mar 12,95.4
105,Feb 12,95.1
106,Jan 12,94.6
107,Dec 11,95.1
108,Nov 11,94.6
109,Oct 11,94.5
110,Sep 11,94.4
111,Aug 11,93.8
112,Jul 11,93.3
113,Jun 11,93.3
114,May 11,93.4
115,Apr 11,93.2
116,Mar 11,92.2
117,Feb 11,92.0
118,Jan 11,91.3
119,Dec 10,91.2
120,Nov 10,90.3
121,Oct 10,90.0
122,Sep 10,89.8
123,Aug 10,89.8
124,Jul 10,89.3
125,Jun 10,89.5
126,May 10,89.4
127,Apr 10,89.2
128,Mar 10,88.7
129,Feb 10,88.2
130,Jan 10,87.8
131,Dec 09,88.0
132,Nov 09,87.5
133,Oct 09,87.2
134,Sep 09,87.1
135,Aug 09,87.0
136,Jul 09,86.7
137,Jun 09,86.7
138,May 09,86.4
139,Apr 09,86.0
140,Mar 09,85.8
141,Feb 09,85.6
142,Jan 09,84.9
143,Dec 08,85.5
144,Nov 08,85.8
145,Oct 08,85.9
146,Sep 08,86.1
147,Aug 08,85.7
148,Jul 08,85.1
149,Jun 08,85.2
150,May 08,84.6
151,Apr 08,84.0
152,Mar 08,83.4
153,Feb 08,83.0
154,Jan 08,82.4
155,Dec 07,83.0
156,Nov 07,82.5
157,Oct 07,82.3
158,Sep 07,81.9
159,Aug 07,81.8
160,Jul 07,81.5
161,Jun 07,82.0
162,May 07,81.8
163,Apr 07,81.6
164,Mar 07,81.4
165,Feb 07,81.0
166,Jan 07,80.6
167,Dec 06,81.3
168,Nov 06,80.8
169,Oct 06,80.6
170,Sep 06,80.5
171,Aug 06,80.4
172,Jul 06,80.0
173,Jun 06,80.1
174,May 06,79.9
175,Apr 06,79.4
176,Mar 06,78.9
177,Feb 06,78.8
178,Jan 06,78.5
179,Dec 05,78.9
180,Nov 05,78.7
181,Oct 05,78.7
182,Sep 05,78.6
183,Aug 05,78.4
184,Jul 05,78.2
185,Jun 05,78.1
186,May 05,78.1
187,Apr 05,77.8
188,Mar 05,77.5
189,Feb 05,77.2
190,Jan 05,77.0
191,Dec 04,77.4
192,Nov 04,77.0
193,Oct 04,76.9
194,Sep 04,76.7
195,Aug 04,76.6
196,Jul 04,76.4
197,Jun 04,76.6
198,May 04,76.6
199,Apr 04,76.4
200,Mar 04,76.1
201,Feb 04,76.0
202,Jan 04,75.8
203,Dec 03,76.2
204,Nov 03,75.9
205,Oct 03,76.0
206,Sep 03,75.9
207,Aug 03,75.6
208,Jul 03,75.3
209,Jun 03,75.4
210,May 03,75.5
211,Apr 03,75.5
212,Mar 03,75.3
213,Feb 03,75.0
214,Jan 03,74.7
215,Dec 02,75.2
216,Nov 02,74.9
217,Oct 02,74.9
218,Sep 02,74.8
219,Aug 02,74.6
220,Jul 02,74.4
221,Jun 02,74.6
222,May 02,74.6
223,Apr 02,74.4
224,Mar 02,74.1
225,Feb 02,73.8
226,Jan 02,73.7
227,Dec 01,74.0
228,Nov 01,73.8
229,Oct 01,73.9
230,Sep 01,74.1
231,Aug 01,73.9
232,Jul 01,73.6
233,Jun 01,74.1
234,May 01,74.0
235,Apr 01,73.4
236,Mar 01,73.0
237,Feb 01,72.7
238,Jan 01,72.6
239,Dec 00,73.2
240,Nov 00,73.2
241,Oct 00,73.1
242,Sep 00,73.1
243,Aug 00,72.5
244,Jul 00,72.5
245,Jun 00,72.9
246,May 00,72.8
247,Apr 00,72.6
248,Mar 00,72.3
249,Feb 00,72.2
250,Jan 00,71.9
251,Dec 99,72.6
252,Nov 99,72.4
253,Oct 99,72.3
254,Sep 99,72.4
255,Aug 99,72.1
256,Jul 99,71.9
257,Jun 99,72.3
258,May 99,72.4
259,Apr 99,72.2
260,Mar 99,71.9
261,Feb 99,71.5
262,Jan 99,71.4
263,Dec 98,71.8
264,Nov 98,71.6
265,Oct 98,71.5
266,Sep 98,71.5
