,Quarter,Purchase,Refinance
0,Q3 '19,375,230
1,Q2 '19,355,146
2,Q1 '19,228,97
3,Q4 '18,297,103
4,Q3 '18,346,113
5,Q2 '18,334,118
6,Q1 '18,214,128
7,Q4 '17,283,168
8,Q3 '17,334,155
9,Q2 '17,322,145
10,Q1 '17,204,148
11,Q4 '16,258,265
12,Q3 '16,305,332
13,Q2 '16,300,242
14,Q1 '16,190,161
15,Q4 '15,220,197
16,Q3 '15,280,158
17,Q2 '15,249,226
18,Q1 '15,154,195
19,Q4 '14,179,133
20,Q3 '14,220,120
21,Q2 '14,213,123
22,Q1 '14,148,127
23,Q4 '13,173,153
24,Q3 '13,218,252
25,Q2 '13,212,360
26,Q1 '13,131,346
27,Q4 '12,144,453
28,Q3 '12,151,399
29,Q2 '12,154,307
30,Q1 '12,139,297
