,Year,Inflation rate compared to previous year
0,2025*,7.98%
1,2024*,7.98%
2,2023*,7.98%
3,2022*,7.98%
4,2021*,11.47%
5,2020*,20.16%
6,2019,15.81%
7,2018,13.83%
8,2017,10.69%
9,2016,6.63%
10,2015,9.57%
11,2014,7.4%
12,2013,8.07%
13,2012,24.13%
14,2011,33.23%
15,2010,8.13%
16,2009,8.48%
17,2008,44.37%
18,2007,17.25%
19,2006,13.56%
20,2005,11.66%
21,2004,3.22%
22,2003,17.76%
23,2002,1.65%
24,2001,-8.24%
25,2000,0.66%
26,1999,7.94%
27,1998,3.6%
28,1997,-6.42%
29,1996,0.92%
30,1995,13.35%
31,1994,1.17%
32,1993,9.99%
33,1992,21.02%
34,1991,20.87%
35,1990,5.21%
36,1989,9.63%
37,1988,2.21%
38,1987,-9.15%
39,1986,5.55%
40,1985,18.4%
